#SampleID	Digit	Hand	Keysize	Key	Source	Individual	Spacebar	SpacebarSex	Typingdigit	Handkey	TypingHand	TypingHandSource	TypingHandIndiv	TypingHandSourceIndiv	UseFreq	Description
NFkeyB	NA	NA	Small	B	Key	NF	NA	NA	In	Left	InLeft	InLeftKey	InLeftNF	InLeftKeyNF	1to2	"Noahf.key, b"
NFkeyM	NA	NA	Small	M	Key	NF	NA	NA	In	Right	InRight	InRightKey	InRightNF	InRightKeyNF	2to6	"Noahf.key, m"
NFkeyL	NA	NA	Small	L	Key	NF	NA	NA	Ri	Right	RiRight	RiRightKey	RiRightNF	RiRightKeyNF	2to6	"Noahf.key, l"
NFkeyO	NA	NA	Small	O	Key	NF	NA	NA	Ri	Right	RiRight	RiRightKey	RiRightNF	RiRightKeyNF	7plus	"Noahf.key, o"
NFkeyN	NA	NA	Small	N	Key	NF	NA	NA	In	Right	InRight	InRightKey	InRightNF	InRightKeyNF	6to7	"Noahf.key, n"
NFkeyI	NA	NA	Small	I	Key	NF	NA	NA	Mi	Right	MiRight	MiRightKey	MiRightNF	MiRightKeyNF	6to7	"Noahf.key, i"
NFkeyH	NA	NA	Small	H	Key	NF	NA	NA	In	Right	InRight	InRightKey	InRightNF	InRightKeyNF	6to7	"Noahf.key, h"
DMkeyEnter	NA	NA	Medium	Enter	Key	DM	NA	NA	Unk	Right	UnkRight	UnkRightKey	UnkRightDM	UnkRightKeyDM	NA	"Danielm.key, enter"
NFkeyJ	NA	NA	Small	J	Key	NF	NA	NA	In	Right	InRight	InRightKey	InRightNF	InRightKeyNF	1minus	"Noahf.key, j"
NFkeyU	NA	NA	Small	U	Key	NF	NA	NA	In	Right	InRight	InRightKey	InRightNF	InRightKeyNF	2to6	"Noahf.key, u"
NFkeyT	NA	NA	Small	T	Key	NF	NA	NA	In	Left	InLeft	InLeftKey	InLeftNF	InLeftKeyNF	7plus	"Noahf.key, t"
NFkeyW	NA	NA	Small	W	Key	NF	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftNF	RiLeftKeyNF	2to6	"Noahf.key, w"
NFkeyV	NA	NA	Small	V	Key	NF	NA	NA	In	Left	InLeft	InLeftKey	InLeftNF	InLeftKeyNF	1to2	"Noahf.key, v"
NFkeyQ	NA	NA	Small	Q	Key	NF	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftNF	PiLeftKeyNF	1minus	"Noahf.key, q"
NFkeyK	NA	NA	Small	K	Key	NF	NA	NA	Mi	Right	MiRight	MiRightKey	MiRightNF	MiRightKeyNF	1minus	"Noahf.key, k"
NFkeyS	NA	NA	Small	S	Key	NF	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftNF	RiLeftKeyNF	6to7	"Noahf.key, s"
NFkeyR	NA	NA	Small	R	Key	NF	NA	NA	In	Left	InLeft	InLeftKey	InLeftNF	InLeftKeyNF	6to7	"Noahf.key, r"
NFkeyY	NA	NA	Small	Y	Key	NF	NA	NA	In	Right	InRight	InRightKey	InRightNF	InRightKeyNF	1to2	"Noahf.key, y"
NFkeyX	NA	NA	Small	X	Key	NF	NA	NA	Ri	Left	RiLeft	RiLeftKey	RiLeftNF	RiLeftKeyNF	1minus	"Noahf.key, x"
NFThumbR	Thumb	Right	NA	NA	Fing	NF	NA	NA	Th	Right	ThRight	ThRightFing	ThRightNF	ThRightFingNF	NA	Noahf.thumb-right
NFkeyZ	NA	NA	Small	Z	Key	NF	NA	NA	Pi	Left	PiLeft	PiLeftKey	PiLeftNF	PiLeftKeyNF	1minus	"Noahf.key, z"
DMIndexR	Index	Right	NA	NA	Fing	DM	NA	NA	In	Right	InRight	InRightFing	InRightDM	InRightFingDM	NA	Danielm.index-right
DMPinkyR	Pinky	Right	NA	NA	Fing	DM	NA	NA	Pi	Right	PiRight	PiRightFing	PiRightDM	PiRightFingDM	NA	Danielm.pinky-right
